puma_id,state_id,puma_num,puma_name,city,state_name,state_abbv,has_bonus_info
100100,1,100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",NA,Alabama,AL,NA
100200,1,200,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),NA,Alabama,AL,NA
100301,1,301,Huntsville (North) & Madison (East) Cities,NA,Alabama,AL,NA
100302,1,302,Huntsville City (Central & South),"Huntsville, AL",Alabama,AL,NA
100400,1,400,DeKalb & Jackson Counties,NA,Alabama,AL,NA
100500,1,500,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),NA,Alabama,AL,NA
100600,1,600,Morgan & Lawrence Counties--Decatur City,NA,Alabama,AL,NA
100700,1,700,Cullman & Winston Counties,NA,Alabama,AL,NA
100800,1,800,St. Clair & Blount Counties,NA,Alabama,AL,NA
100900,1,900,Etowah County,NA,Alabama,AL,NA
101000,1,1000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",NA,Alabama,AL,NA
101100,1,1100,Calhoun County,NA,Alabama,AL,NA
101200,1,1200,Shelby County,NA,Alabama,AL,NA
101301,1,1301,Birmingham City (West),"Birmingham, AL",Alabama,AL,1
101302,1,1302,Birmingham City (East),"Birmingham, AL",Alabama,AL,1
101303,1,1303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",NA,Alabama,AL,NA
101304,1,1304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",NA,Alabama,AL,NA
101305,1,1305,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",NA,Alabama,AL,NA
101400,1,1400,"Walker, Marion (South & West), Fayette & Lamar Counties",NA,Alabama,AL,NA
101500,1,1500,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West),NA,Alabama,AL,NA
101600,1,1600,Tuscaloosa & Northport (Southeast) Cities,"Tuscaloosa, AL",Alabama,AL,NA
101700,1,1700,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",NA,Alabama,AL,NA
101800,1,1800,"Chilton, Tallapoosa, Chambers & Coosa Counties",NA,Alabama,AL,NA
101900,1,1900,Lee County--Auburn City,NA,Alabama,AL,NA
102000,1,2000,Montgomery City & Pike Road Town (North),"Montgomery, AL",Alabama,AL,NA
102100,1,2100,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",NA,Alabama,AL,NA
102200,1,2200,Southwest Alabama,NA,Alabama,AL,NA
102300,1,2300,"Coffee, Covington, Butler & Crenshaw Counties",NA,Alabama,AL,NA
102400,1,2400,"Russell, Pike, Barbour, Macon & Bullock Counties",NA,Alabama,AL,NA
102500,1,2500,"Houston, Dale, Geneva & Henry Counties--Dothan City",NA,Alabama,AL,NA
102600,1,2600,Baldwin County,NA,Alabama,AL,NA
102701,1,2701,Mobile City (East),"Mobile, AL",Alabama,AL,1
102702,1,2702,Mobile City (West),"Mobile, AL",Alabama,AL,1
102703,1,2703,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",NA,Alabama,AL,NA
200101,2,101,Anchorage Municipality (North),"Anchorage, AK",Alaska,AK,1
200102,2,102,Anchorage Municipality (South),"Anchorage, AK",Alaska,AK,1
200200,2,200,Matanuska-Susitna & Kenai Peninsula Boroughs,NA,Alaska,AK,NA
200300,2,300,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",NA,Alaska,AK,NA
200400,2,400,Subsistence Alaska,NA,Alaska,AK,NA
400100,4,100,Maricopa County--Gilbert (South) & Queen Creek Towns,"Gilbert, AZ",Arizona,AZ,1
400101,4,101,Maricopa County--Mesa City (East),"Mesa, AZ",Arizona,AZ,1
400102,4,102,Maricopa County--Mesa City (North Central),"Mesa, AZ",Arizona,AZ,1
400103,4,103,Maricopa County--Mesa City (West),"Mesa, AZ",Arizona,AZ,1
