id,label,geo_level,has_bonus_info
107000,"Birmingham, AL*",City,1
135896,"Hoover, AL",City,0
137000,"Huntsville, AL",City,0
150000,"Mobile, AL*",City,1
151000,"Montgomery, AL",City,0
177256,"Tuscaloosa, AL",City,0
203000,"Anchorage, AK*",City,1
404720,"Avondale, AZ",City,0
412000,"Chandler, AZ*",City,1
427400,"Gilbert, AZ*",City,1
427820,"Glendale, AZ*",City,1
446000,"Mesa, AZ*",City,1
454050,"Peoria, AZ",City,0
455000,"Phoenix, AZ*",City,1
464210,"San Tan Valley, AZ",City,0
465000,"Scottsdale, AZ*",City,1
471510,"Surprise, AZ",City,0
473000,"Tempe, AZ*",City,1
477000,"Tucson, AZ*",City,1
485540,"Yuma, AZ",City,0
524550,"Fort Smith, AR",City,0
541000,"Little Rock, AR",City,0
600884,"Alhambra, CA",City,0
602000,"Anaheim, CA*",City,1
602252,"Antioch, CA",City,0
602553,"Arden-Arcade, CA",City,0
603526,"Bakersfield, CA*",City,1
603666,"Baldwin Park, CA",City,0
604982,"Bellflower, CA",City,0
606000,"Berkeley, CA",City,0
608786,"Buena Park, CA",City,0
608954,"Burbank, CA",City,0
611194,"Carlsbad, CA",City,0
611530,"Carson, CA",City,0
613014,"Chico, CA",City,0
613210,"Chino, CA",City,0
613392,"Chula Vista, CA*",City,1
613588,"Citrus Heights, CA",City,0
614218,"Clovis, CA",City,0
615044,"Compton, CA",City,0
616000,"Concord, CA",City,0
616350,"Corona, CA",City,0
616532,"Costa Mesa, CA",City,0
617918,"Daly City, CA",City,0
619766,"Downey, CA",City,0
620802,"East Los Angeles, CA",City,0
621712,"El Cajon, CA",City,0
622020,"Elk Grove, CA",City,0
622230,"El Monte, CA",City,0
622804,"Escondido, CA",City,0
623182,"Fairfield, CA",City,0
624680,"Fontana, CA*",City,1
626000,"Fremont, CA",City,0
627000,"Fresno, CA*",City,1
628000,"Fullerton, CA",City,0
629000,"Garden Grove, CA",City,0
630000,"Glendale, CA",City,0
632548,"Hawthorne, CA",City,0
633000,"Hayward, CA",City,0
633182,"Hemet, CA",City,0
633434,"Hesperia, CA",City,0
636000,"Huntington Beach, CA",City,0
636448,"Indio, CA",City,0
636546,"Inglewood, CA",City,0
636770,"Irvine, CA",City,0
639496,"Lake Forest, CA",City,0
639892,"Lakewood, CA",City,0
640130,"Lancaster, CA",City,0
